timestamp,open,high,low,close,volume
2026-07-31 04:00:00-04:00,206.2045,208.82,204.5697,207.0,0
2026-07-31 04:01:00-04:00,206.74,208.74,204.58,207.03,0
2026-07-31 04:02:00-04:00,208.81,208.81,207.1,207.1,0
2026-07-31 04:04:00-04:00,207.0,207.0,206.72,207.0,0
2026-07-31 04:06:00-04:00,206.75,208.15,205.88,206.73,0
2026-07-31 04:08:00-04:00,206.72,207.0,206.7,207.0,0
2026-07-31 04:09:00-04:00,207.66,207.66,207.66,207.66,0
2026-07-31 04:10:00-04:00,207.0,207.0,207.0,207.0,0
2026-07-31 04:12:00-04:00,206.1987,206.1987,206.1987,206.1987,0
2026-07-31 04:14:00-04:00,207.0,208.0,205.5,208.0,0
2026-07-31 04:15:00-04:00,206.7,207.7413,206.7,206.86,0
2026-07-31 04:17:00-04:00,207.7321,207.7358,206.3,206.3,0
2026-07-31 04:18:00-04:00,208.0,208.0,208.0,208.0,0
2026-07-31 04:19:00-04:00,207.7207,207.7207,207.7207,207.7207,0
2026-07-31 04:20:00-04:00,207.5108,207.5108,207.5108,207.5108,0
2026-07-31 04:23:00-04:00,207.9588,207.9588,207.813,207.9188,0
2026-07-31 04:24:00-04:00,207.8048,207.811,207.7935,207.7935,0
2026-07-31 04:25:00-04:00,207.51,207.51,207.51,207.51,0
2026-07-31 04:26:00-04:00,207.96,207.96,207.96,207.96,0
2026-07-31 04:27:00-04:00,207.88,207.88,207.88,207.88,0
2026-07-31 04:28:00-04:00,207.0,207.0,207.0,207.0,0
2026-07-31 04:30:00-04:00,207.6,208.0,207.6,207.97,0
2026-07-31 04:33:00-04:00,208.8205,208.8205,208.8205,208.8205,0
2026-07-31 04:34:00-04:00,207.26,208.89,207.26,208.89,0
2026-07-31 04:35:00-04:00,208.89,208.9587,208.89,208.9587,0
2026-07-31 04:37:00-04:00,207.25,207.25,207.25,207.25,0
2026-07-31 04:38:00-04:00,208.0,209.0,208.0,208.0,0
2026-07-31 04:39:00-04:00,207.95,207.95,207.95,207.95,0
2026-07-31 04:40:00-04:00,207.58,207.58,207.25,207.25,0
2026-07-31 04:43:00-04:00,207.5,207.5675,207.5,207.5675,0
2026-07-31 04:44:00-04:00,207.5,207.5,207.25,207.25,0
2026-07-31 04:47:00-04:00,208.0,208.5,208.0,208.5,0
2026-07-31 04:48:00-04:00,208.3417,208.3417,208.3417,208.3417,0
2026-07-31 04:49:00-04:00,208.01,208.01,208.01,208.01,0
2026-07-31 04:50:00-04:00,208.5,208.5,208.5,208.5,0
2026-07-31 04:51:00-04:00,208.3389,208.3389,208.3389,208.3389,0
